gene,ES2,JHOC5,MOLM13,MV411,TOV21G
ACTL7A,0.6995344085193653,1.524404292723168,1.1604375350686817,0.44992209681230766,2.8553520021480754
ACTL7B,0.6637981857497149,1.2288731911562305,0.7818317834501545,0.47722846608161096,1.9345599783610283
ACTL8,0.4677767810810497,0.20764581507960636,1.254152693198679,1.1432108090695006,2.1393745170635117
ACTL9,0.6261818634594499,0.7520209914081575,1.4155673359097842,0.74833995239112,1.812078479109221
ACTMAP,0.8340095277929271,1.0691564686143358,0.851914282814806,0.34581572543007816,2.1785736184462614
ACTN1,0.9983400851280394,1.3159767649810794,0.6610568200314897,0.314654950850673,2.797591870577944
ACTN2,1.4550860617505117,0.9919439620437411,1.3177783601569266,0.6175614945466067,2.6487894475249463
ACTN4,0.8788580861831116,1.2799552306374284,0.6815936707634215,0.6138225232406416,3.8666424063308256
ACTR10,2.0954165498084567,1.8331856305285184,0.9290448340271235,0.40372984101348275,3.015210463660287
ACTR1A,2.91131380509424,2.1230936714422652,1.444440286377043,0.7787477316030739,2.1449491295708993
ACTR1B,1.7169677556443852,0.8731365413011387,1.046106879388531,1.2637470820999228,4.303909270615052
ACTR2,2.181673662395087,2.198812454000496,0.7982404097627046,0.6758357349596535,2.7801584243863386
ACTR3,1.5182650325491962,1.6233767797369347,1.3377078864232792,1.0338197190449434,2.6500161362044827
ACTR3B,1.5931259924228223,2.75852615452513,1.1230128644378206,1.0683592193429332,3.053424890375913
ACTR3C,0.4614539145222317,0.5764598990186259,1.0829014735604723,0.01061999932882868,1.9363029977442898
ACTR5,1.474130621588226,0.9888064804213634,1.205781826901916,0.5851489307828681,2.0090524323594985
ACTR6,1.931067766962976,2.8866052758654672,2.0484432758344,1.8694408805406733,1.8336439965207652
ACTR8,1.3165307338230845,1.4249024955008955,0.9008751913259855,0.894445671445791,3.6653922222783355
ACTRT1,0.6558979432424693,0.7435033467177055,0.321658708421443,0.17945368361174424,2.8485808955694663
